Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price,Split
Seddon,56 Hamilton St,3,h,S,Burnham,3/09/2016,6.6,3011.0,3.0,1.0,1.0,350.0,116.0,1890.0,Maribyrnong,-37.8094,144.8869,Western Metropolitan,2417.0,1145000.0,Train
Werribee,58 Church St,3,h,S,YPA,27/05/2017,14.7,3030.0,3.0,1.0,2.0,660.0,113.0,1960.0,Wyndham,-37.90908,144.65774,Western Metropolitan,16166.0,570000.0,Train
Scoresby,5 Drysdale Ct,3,h,SP,hockingstuart,12/08/2017,22.2,3179.0,3.0,2.0,2.0,590.0,151.0,1981.0,Knox,-37.89628,145.22294,Eastern Metropolitan,2206.0,870000.0,Train
Carnegie,13/1150 Dandenong Rd,1,u,PI,Ray,29/07/2017,10.1,3163.0,1.0,1.0,1.0,1978.0,,,Glen Eira,-37.88506,145.06411,Southern Metropolitan,7822.0,316000.0,Train
Reservoir,1/73 Purinuan Rd,3,u,PI,Ray,13/08/2016,11.2,3073.0,3.0,1.0,1.0,172.0,97.0,1970.0,Darebin,-37.7092,145.0274,Northern Metropolitan,21650.0,400000.0,Train
Northcote,68b Derby St,4,h,PI,Nelson,12/06/2016,5.5,3070.0,4.0,2.0,2.0,282.0,,,Darebin,-37.7709,145.0057,Northern Metropolitan,11364.0,1310000.0,Train
Ashburton,4 Baker Pde,3,h,S,hockingstuart,22/05/2016,11.0,3147.0,3.0,1.0,2.0,545.0,,,Boroondara,-37.8605,145.0833,Southern Metropolitan,3052.0,1500000.0,Train
Balwyn North,33 Cityview Rd,3,h,S,Jellis,26/08/2017,9.7,3104.0,3.0,1.0,1.0,663.0,,,,-37.79131,145.07861,Southern Metropolitan,7809.0,1900000.0,Train
Balwyn,13 Naroo St,4,h,PI,Jellis,8/10/2016,9.7,3103.0,3.0,2.0,2.0,577.0,200.0,1948.0,Boroondara,-37.8032,145.0693,Southern Metropolitan,5682.0,1800000.0,Train
Prahran,83 Charles St,2,h,S,Jellis,30/07/2016,4.5,3181.0,2.0,1.0,2.0,236.0,,,Stonnington,-37.8478,144.9892,Southern Metropolitan,7717.0,1500000.0,Train
South Melbourne,27 Lyell St,3,h,S,WHITEFOX,13/05/2017,2.1,3205.0,3.0,1.0,1.0,204.0,105.0,1910.0,Port Phillip,-37.8365,144.9497,Southern Metropolitan,5943.0,1820000.0,Train
Doncaster East,11 Avocet St,3,h,S,Jellis,3/09/2017,14.3,3109.0,3.0,1.0,3.0,713.0,,,,-37.79507,145.15913999999995,Eastern Metropolitan,10999.0,1482000.0,Train
Heidelberg West,1 Bardia St,3,h,S,William,1/07/2017,8.8,3081.0,3.0,1.0,0.0,593.0,95.0,1950.0,Banyule,-37.7482,145.04073,Eastern Metropolitan,2674.0,726500.0,Train
Balwyn,112 Belmore Rd,5,h,PI,Jellis,28/05/2016,9.7,3103.0,5.0,3.0,2.0,715.0,420.0,2009.0,Boroondara,-37.8028,145.0768,Southern Metropolitan,5682.0,3020000.0,Train
Lalor,6 Everest Ct,3,h,S,HAR,16/09/2017,16.3,3075.0,3.0,1.0,2.0,570.0,,,,-37.66422,144.99893,Northern Metropolitan,8279.0,596000.0,Train
Burwood,30 Station St,3,h,S,Buxton,4/02/2016,11.7,3125.0,3.0,1.0,1.0,931.0,145.0,1970.0,Whitehorse,-37.854,145.1195,Southern Metropolitan,5678.0,1755000.0,Train
Reservoir,32 Moira Av,4,h,S,Nelson,23/09/2017,12.0,3073.0,4.0,2.0,2.0,534.0,,,,-37.69583,144.98056,Northern Metropolitan,21650.0,785000.0,Train
Newport,106 Johnston St,4,h,S,RT,18/06/2016,8.4,3015.0,5.0,2.0,2.0,774.0,185.0,1950.0,Hobsons Bay,-37.8366,144.8758,Western Metropolitan,5498.0,1265000.0,Train
Maidstone,14/4 Crefden St,1,u,VB,McGrath,1/07/2017,6.4,3012.0,1.0,1.0,1.0,3826.0,55.0,2009.0,Maribyrnong,-37.77757,144.87232,Western Metropolitan,3873.0,280000.0,Train
South Yarra,18/33 Kensington Rd,1,u,SP,hockingstuart,12/11/2016,3.3,3141.0,1.0,1.0,1.0,0.0,44.0,1970.0,Stonnington,-37.8375,145.0012,Southern Metropolitan,14887.0,515000.0,Train
Coburg,2/618 Sydney Rd,3,t,S,Brad,25/02/2017,7.8,3058.0,3.0,1.0,1.0,102.0,95.0,1976.0,Moreland,-37.736,144.9665,Northern Metropolitan,11204.0,600000.0,Train
Oakleigh East,82 Patrick St,6,h,PI,Ray,1/07/2017,12.3,3166.0,6.0,4.0,3.0,1063.0,,,Monash,-37.909,145.12059,Southern Metropolitan,2547.0,1900000.0,Train
Glenroy,76 Daley St,2,h,PI,RW,16/09/2017,11.2,3046.0,2.0,1.0,6.0,589.0,,,,-37.69708,144.92967,Northern Metropolitan,8870.0,605000.0,Train
Glen Iris,1 Maitland St,3,h,S,Jellis,17/09/2016,9.2,3146.0,4.0,2.0,4.0,885.0,217.0,1910.0,Stonnington,-37.8577,145.0421,Southern Metropolitan,10412.0,2825000.0,Train
Preston,72d Oakover Rd,3,t,S,Harcourts,24/06/2017,8.4,3072.0,3.0,2.0,2.0,214.0,,,Darebin,-37.74886,144.99225,Northern Metropolitan,14577.0,875000.0,Train
Bulleen,12 Ralph St,4,h,PI,Luxton,23/09/2017,10.8,3105.0,4.0,2.0,3.0,650.0,120.0,1960.0,,-37.77352,145.09843999999995,Eastern Metropolitan,4480.0,1300000.0,Train
Hampton Park,75 Pound Rd,4,h,SP,FN,8/07/2017,33.3,3976.0,4.0,2.0,2.0,654.0,,1989.0,Casey,-38.02683,145.25871,South-Eastern Metropolitan,8256.0,622000.0,Train
Melbourne,805/300 Swanston St,2,u,S,Purplebricks,7/11/2016,2.8,3000.0,2.0,1.0,1.0,0.0,80.0,2004.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0,665000.0,Train
Ashburton,19 Ward St,3,h,S,Jellis,12/08/2017,10.2,3147.0,3.0,2.0,3.0,634.0,230.0,1940.0,Boroondara,-37.86516,145.07958,Southern Metropolitan,3052.0,2299500.0,Train
Northcote,5/162 Westgarth St,2,u,S,Collins,4/03/2017,5.5,3070.0,2.0,1.0,2.0,0.0,,,Darebin,-37.7828,145.0096,Northern Metropolitan,11364.0,592000.0,Train
Camberwell,96A Through Rd,3,h,S,Marshall,13/05/2017,7.8,3124.0,3.0,2.0,2.0,324.0,,,Boroondara,-37.8418,145.0916,Southern Metropolitan,8920.0,1861000.0,Train
St Kilda,20 Fawkner St,4,h,S,Marshall,23/09/2017,5.0,3182.0,4.0,2.0,1.0,324.0,265.0,1890.0,,-37.86569,144.97919,Southern Metropolitan,13240.0,2680000.0,Train
St Kilda,3/38 Barkly St,2,u,S,Buxton,16/04/2016,6.1,3182.0,2.0,1.0,1.0,683.0,72.0,1940.0,Port Phillip,-37.8594,144.9828,Southern Metropolitan,13240.0,503500.0,Train
Oakleigh,1/1438 Dandenong Rd,3,u,PI,Ray,13/05/2017,14.0,3166.0,3.0,1.0,2.0,160.0,104.0,1970.0,Monash,-37.8946,145.0944,Southern Metropolitan,3224.0,655000.0,Train
Camberwell,8/595 Burke Rd,2,t,S,Ray,17/06/2017,7.7,3124.0,2.0,2.0,1.0,112.0,,,Boroondara,-37.84085,145.05415,Southern Metropolitan,8920.0,795000.0,Train
Bentleigh,2/23 Whitmuir Rd,3,u,S,hockingstuart,22/04/2017,13.0,3204.0,3.0,1.0,1.0,681.0,,1960.0,Glen Eira,-37.9145,145.0287,Southern Metropolitan,6795.0,641500.0,Train
Bayswater North,8 Skye Ct,3,h,S,iTRAK,23/09/2017,23.2,3153.0,3.0,2.0,2.0,482.0,147.0,1990.0,,-37.82391,145.30266,Eastern Metropolitan,3598.0,724000.0,Train
Brunswick East,160 Glenlyon Rd,3,h,PI,Nelson,22/05/2016,4.5,3057.0,3.0,1.0,1.0,213.0,116.0,1920.0,Moreland,-37.7729,144.9724,Northern Metropolitan,5533.0,825000.0,Train
Templestowe Lower,23 Hotham St,3,h,VB,RT,28/05/2016,13.8,3107.0,3.0,1.0,2.0,327.0,120.0,1975.0,Manningham,-37.7709,145.1104,Eastern Metropolitan,5420.0,650000.0,Train
Windsor,9/58 The Avenue,1,u,S,Beller,10/12/2016,5.1,3181.0,1.0,1.0,1.0,0.0,,,Stonnington,-37.8533,144.9986,Southern Metropolitan,4380.0,412500.0,Train
Heathmont,23 Viviani Cr,3,h,S,Ray,12/08/2017,21.3,3135.0,3.0,2.0,2.0,471.0,144.0,1965.0,Maroondah,-37.82996,145.24311,Eastern Metropolitan,3794.0,912000.0,Train
Hampton,38 Myrtle Rd,4,h,S,Nick,3/09/2016,13.7,3188.0,3.0,3.0,2.0,701.0,320.0,2015.0,Bayside,-37.9419,145.0152,Southern Metropolitan,5454.0,2800000.0,Train
Box Hill,5/10 Camelia St,2,u,S,Ray,6/05/2017,13.1,3128.0,2.0,1.0,1.0,171.0,80.0,2014.0,Whitehorse,-37.8158,145.1384,Eastern Metropolitan,4605.0,780000.0,Train
Albion,60 Sydney St,3,h,S,Sweeney,10/12/2016,13.9,3020.0,3.0,1.0,1.0,706.0,,,Brimbank,-37.7801,144.8229,Western Metropolitan,2185.0,720000.0,Train
Collingwood,1/60 Budd St,3,t,S,Jellis,14/05/2016,1.6,3066.0,3.0,2.0,1.0,82.0,82.0,1995.0,Yarra,-37.7961,144.9873,Northern Metropolitan,4553.0,897500.0,Train
Williamstown,4 Freyer St,4,h,S,hockingstuart,3/09/2016,8.0,3016.0,3.0,2.0,1.0,452.0,,,Hobsons Bay,-37.855,144.8905,Western Metropolitan,6380.0,1325000.0,Train
Moonee Ponds,3 Pattison St,2,h,S,Brad,19/11/2016,6.9,3039.0,2.0,1.0,1.0,345.0,95.0,1930.0,Moonee Valley,-37.773,144.9335,Western Metropolitan,6232.0,849000.0,Train
Flemington,37 Waltham St,2,h,S,Jellis,9/09/2017,3.4,3031.0,2.0,1.0,1.0,150.0,96.0,1890.0,,-37.78363,144.92997,Northern Metropolitan,3593.0,1225000.0,Train
Fairfield,48 Gordon St,3,h,S,Jellis,28/05/2016,5.8,3078.0,1.0,1.0,1.0,453.0,,,Darebin,-37.7772,145.0232,Northern Metropolitan,2970.0,1510000.0,Train
Meadow Heights,10 Castella Ct,3,h,SP,Barry,8/07/2017,17.4,3048.0,3.0,1.0,1.0,702.0,96.0,1970.0,Hume,-37.66059,144.92006,Northern Metropolitan,4704.0,450000.0,Train
Hoppers Crossing,38 MacEdon St,3,h,S,Greg,27/05/2017,18.4,3029.0,3.0,1.0,2.0,537.0,121.84,1980.0,Wyndham,-37.87016,144.70606,Western Metropolitan,13830.0,442500.0,Train
St Kilda,59 Clyde St,3,h,S,Marshall,4/03/2017,6.1,3182.0,3.0,2.0,3.0,384.0,123.0,1915.0,Port Phillip,-37.8645,144.9805,Southern Metropolitan,13240.0,1891000.0,Train
Glenroy,1 Tudor St,3,h,VB,Nelson,10/12/2016,13.0,3046.0,3.0,2.0,4.0,805.0,,,Moreland,-37.708,144.9211,Northern Metropolitan,8870.0,820000.0,Train
Tullamarine,1/6 Burvale Ct,3,t,S,Barry,27/05/2017,12.9,3043.0,3.0,2.0,2.0,286.0,,,Hume,-37.69728,144.87455,Western Metropolitan,3296.0,555000.0,Train
Ormond,6/16 Walsh St,2,u,S,Woodards,8/04/2017,11.8,3204.0,2.0,1.0,1.0,0.0,74.0,1970.0,Glen Eira,-37.9023,145.0461,Southern Metropolitan,3578.0,437500.0,Train
South Yarra,3/555 Punt Rd,2,u,S,Kay,13/05/2017,3.3,3141.0,2.0,1.0,1.0,595.0,,,Melbourne,-37.8422,144.9855,Southern Metropolitan,14887.0,642000.0,Train
Hawthorn,7/28 Elm St,1,u,S,Peter,1/07/2017,5.3,3122.0,1.0,1.0,1.0,910.0,,,Boroondara,-37.81333,145.01932,Southern Metropolitan,11308.0,395000.0,Train
Brunswick East,202b Edward St,3,h,S,Nelson,15/10/2016,4.5,3057.0,3.0,2.0,0.0,185.0,,1998.0,Moreland,-37.7755,144.9744,Northern Metropolitan,5533.0,1170000.0,Train
Templestowe Lower,1/6 Union St,2,t,S,Jellis,22/07/2017,12.4,3107.0,2.0,1.0,1.0,217.0,115.0,2005.0,Manningham,-37.75671,145.11401,Eastern Metropolitan,5420.0,731000.0,Train
Alphington,3/98 Grange Rd,2,u,S,Nelson,18/03/2017,6.4,3078.0,2.0,1.0,1.0,183.0,,,Darebin,-37.7747,145.0264,Northern Metropolitan,2211.0,820000.0,Train
Balwyn North,3/52 Maud St,2,u,S,Christopher,23/04/2016,9.2,3104.0,2.0,1.0,1.0,1075.0,,1970.0,Boroondara,-37.7953,145.0712,Southern Metropolitan,7809.0,735000.0,Train
Airport West,144 Marshall Rd,3,h,S,Rendina,18/03/2017,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,715000.0,Train
Reservoir,2/14 Ludeman Ct,2,u,SP,Love,30/07/2016,11.2,3073.0,2.0,1.0,1.0,133.0,65.0,2012.0,Darebin,-37.6983,144.9998,Northern Metropolitan,21650.0,390000.0,Train
Brunswick West,1 Egginton St,4,h,SP,Alexkarbon,24/06/2017,5.2,3055.0,4.0,2.0,2.0,645.0,217.0,1950.0,Moreland,-37.76097,144.93933,Northern Metropolitan,7082.0,1268000.0,Train
Preston,3 Evelyn St,3,h,S,Ray,13/05/2017,8.8,3072.0,3.0,2.0,1.0,511.0,,,Darebin,-37.7377,144.9911,Northern Metropolitan,14577.0,1015000.0,Train
Epping,10 Hastings Ct,3,h,S,Love,16/09/2017,19.6,3076.0,3.0,1.0,2.0,555.0,,,,-37.64417,145.04043,Northern Metropolitan,10926.0,600000.0,Train
South Yarra,23/350 Toorak Rd,3,u,S,Jellis,1/07/2017,2.7,3141.0,3.0,2.0,1.0,0.0,120.0,,Stonnington,-37.84024,145.00038999999995,Southern Metropolitan,14887.0,1235000.0,Train
Fairfield,197 Wingrove St,3,h,S,Jellis,4/06/2016,5.8,3078.0,2.0,1.0,2.0,530.0,,,Darebin,-37.7788,145.0203,Northern Metropolitan,2970.0,1125000.0,Train
Oakleigh,42 Bishop St,4,h,S,Buxton,15/07/2017,12.3,3166.0,4.0,2.0,2.0,592.0,193.0,1950.0,Monash,-37.90821,145.09313999999995,Southern Metropolitan,3224.0,1610000.0,Train
Balwyn North,19 Jacka St,4,h,S,Jellis,3/09/2016,9.2,3104.0,4.0,4.0,3.0,1135.0,275.0,1960.0,Boroondara,-37.8014,145.0892,Southern Metropolitan,7809.0,3230000.0,Train
South Yarra,6/2 May Gr,1,u,S,RT,10/12/2016,3.3,3141.0,1.0,1.0,1.0,0.0,,,Stonnington,-37.8425,145.0009,Southern Metropolitan,14887.0,490000.0,Train
Camberwell,3/926 Toorak Rd,2,u,SP,Noel,4/06/2016,7.8,3124.0,2.0,1.0,1.0,136.0,,1960.0,Boroondara,-37.8469,145.0589,Southern Metropolitan,8920.0,717000.0,Train
Port Melbourne,304/38 Nott St,2,u,S,Cayzer,6/08/2016,3.8,3207.0,2.0,2.0,1.0,579.0,84.0,2013.0,Melbourne,-37.8416,144.9381,Southern Metropolitan,8648.0,795000.0,Train
Cheltenham,2/41 Harpley St,2,t,SP,Greg,19/08/2017,17.9,3192.0,2.0,2.0,1.0,836.0,112.0,2009.0,,-37.97342,145.07201,Southern Metropolitan,9758.0,955000.0,Train
South Yarra,2/100 Commercial Rd,3,u,S,Kay,17/09/2016,3.3,3141.0,3.0,2.0,3.0,6111.0,,,Melbourne,-37.8453,144.9849,Southern Metropolitan,14887.0,805000.0,Train
Elwood,6/229 Brighton Rd,2,u,S,Chisholm,3/06/2017,7.2,3184.0,2.0,1.0,1.0,0.0,83.0,1930.0,Port Phillip,-37.88094,144.99471,Southern Metropolitan,8989.0,696750.0,Train
Kew,6/87 Earl St,3,t,S,hockingstuart,8/04/2017,5.6,3101.0,3.0,2.0,2.0,0.0,102.0,1980.0,Boroondara,-37.794,145.033,Southern Metropolitan,10331.0,752000.0,Train
Brighton,21 Wolseley Gr,4,h,S,RT,28/05/2016,11.2,3186.0,4.0,1.0,2.0,695.0,142.0,1970.0,Bayside,-37.9262,144.9969,Southern Metropolitan,10579.0,2405000.0,Train
Kew,2/147 Willsmere Rd,3,h,S,Jellis,16/04/2016,5.6,3101.0,3.0,2.0,2.0,0.0,,1970.0,Boroondara,-37.7925,145.0389,Southern Metropolitan,10331.0,972500.0,Train
Essendon West,384 Buckley St,3,h,PI,Jellis,15/07/2017,7.5,3040.0,3.0,2.0,1.0,585.0,198.0,1950.0,Moonee Valley,-37.75374,144.88932,Western Metropolitan,588.0,1410000.0,Train
Dallas,50 Kaniva St,3,h,S,Raine,24/06/2017,14.0,3047.0,3.0,1.0,1.0,595.0,,,Hume,-37.66648,144.93399,Northern Metropolitan,2246.0,310000.0,Train
Flemington,65 Victoria St,3,h,VB,Jellis,24/09/2016,4.4,3031.0,4.0,2.0,0.0,162.0,,1905.0,Moonee Valley,-37.7866,144.9343,Northern Metropolitan,3593.0,850000.0,Train
Preston,2 Bruce St,2,h,SP,McGrath,22/04/2017,8.8,3072.0,2.0,1.0,2.0,465.0,,,Darebin,-37.7424,145.0026,Northern Metropolitan,14577.0,2300000.0,Train
Toorak,16/3 Tahara Rd,1,u,S,LITTLE,3/12/2016,4.6,3142.0,1.0,1.0,1.0,1677.0,,,Stonnington,-37.8384,145.0178,Southern Metropolitan,7217.0,546000.0,Train
Newport,195 Blackshaws Rd,3,h,S,RT,13/05/2017,8.4,3015.0,3.0,2.0,2.0,333.0,192.0,2010.0,Hobsons Bay,-37.8334,144.8673,Western Metropolitan,5498.0,975000.0,Train
Forest Hill,6 Tonmar Ct,4,h,PI,Ray,26/08/2017,15.4,3131.0,4.0,2.0,2.0,624.0,,,,-37.84389,145.17345,Eastern Metropolitan,4385.0,1000000.0,Train
Northcote,10 Balgonie Pl,2,h,S,Nelson,17/06/2017,5.3,3070.0,2.0,1.0,0.0,166.0,,,Darebin,-37.7702,144.99987,Northern Metropolitan,11364.0,1001000.0,Train
Preston,2/7 Oak St,3,u,S,Nelson,3/06/2017,8.4,3072.0,3.0,1.0,1.0,234.0,,1995.0,Darebin,-37.73506,145.03169,Northern Metropolitan,14577.0,660000.0,Train
Balwyn North,14 Kawarren St,4,h,S,Kay,4/03/2017,9.2,3104.0,4.0,2.0,2.0,673.0,185.0,1960.0,Boroondara,-37.7856,145.0918,Southern Metropolitan,7809.0,1750000.0,Train
Reservoir,17 Ramleh Rd,3,h,S,Love,23/04/2016,11.2,3073.0,3.0,2.0,2.0,803.0,,,Darebin,-37.7086,145.0313,Northern Metropolitan,21650.0,692500.0,Train
Pascoe Vale,7 Coane St,4,h,PI,Nelson,19/11/2016,9.9,3044.0,4.0,2.0,2.0,646.0,287.0,1995.0,Moreland,-37.7256,144.9383,Northern Metropolitan,7485.0,1350000.0,Train
Maidstone,1/12 Clarendon St,3,h,SP,Biggin,26/07/2016,9.2,3012.0,3.0,1.0,2.0,269.0,80.0,1960.0,Maribyrnong,-37.7844,144.8665,Western Metropolitan,3873.0,490000.0,Train
St Kilda,22/14 Crimea St,1,u,VB,hockingstuart,8/04/2017,6.1,3182.0,1.0,1.0,1.0,1236.0,,1968.0,Port Phillip,-37.8585,144.9884,Southern Metropolitan,13240.0,350000.0,Train
Heidelberg Heights,2/34 Bamfield Rd,3,t,SA,Barry,27/05/2017,8.8,3081.0,3.0,2.0,2.0,192.0,,,Banyule,-37.74128,145.05607,Eastern Metropolitan,2947.0,715000.0,Train
Williamstown,166 Cecil St,3,h,SP,Gunn&Co,27/06/2016,8.0,3016.0,3.0,2.0,1.0,189.0,,1977.0,Hobsons Bay,-37.8605,144.8998,Western Metropolitan,6380.0,960000.0,Train
Bentleigh East,38 Edinburgh St,4,h,S,C21,4/03/2017,13.9,3165.0,4.0,2.0,1.0,0.0,,,Glen Eira,-37.9174,145.0717,Southern Metropolitan,10969.0,1270000.0,Train
Caulfield East,5/33 Grange Rd,2,u,SP,Gary,3/06/2017,8.4,3145.0,2.0,0.0,0.0,0.0,,,Glen Eira,-37.88385,145.04785,Southern Metropolitan,608.0,350000.0,Train
Niddrie,36 Shaw St,2,h,PI,Barry,3/09/2017,10.4,3042.0,2.0,1.0,1.0,650.0,380.0,2016.0,,-37.74016,144.88805,Western Metropolitan,2291.0,1300000.0,Train
Essendon North,3 Oshannassy St,3,h,S,Barry,4/06/2016,9.4,3041.0,3.0,2.0,2.0,758.0,,,Moonee Valley,-37.7401,144.9013,Western Metropolitan,1308.0,1580000.0,Train
Glen Iris,4/1508 Malvern Rd,2,t,S,Jellis,29/07/2017,7.3,3146.0,2.0,1.0,1.0,197.0,1.0,1970.0,Stonnington,-37.85448,145.0485,Southern Metropolitan,10412.0,955000.0,Train
Pascoe Vale,130 Essex St,3,h,S,Brad,28/08/2016,9.9,3044.0,3.0,2.0,2.0,501.0,501.0,1960.0,Moreland,-37.7258,144.9347,Northern Metropolitan,7485.0,960000.0,Train
St Kilda,20/62 Wellington St,1,u,SP,McGrath,7/05/2016,6.1,3182.0,1.0,1.0,1.0,0.0,,,Port Phillip,-37.8571,144.987,Southern Metropolitan,13240.0,450000.0,Train
Maribyrnong,4 Platypus Ct,5,h,SP,Biggin,10/09/2016,8.7,3032.0,5.0,3.0,2.0,446.0,286.0,2002.0,Maribyrnong,-37.7712,144.8763,Western Metropolitan,4918.0,1150000.0,Train
Melbourne,715/300 Swanston St,2,u,S,Greg,18/03/2017,2.8,3000.0,1.0,1.0,1.0,0.0,68.0,2004.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0,483000.0,Train
Clayton,1/76 Scotsburn Av,3,u,S,Buxton,16/09/2017,16.7,3168.0,3.0,1.0,2.0,340.0,100.0,1955.0,,-37.92559,145.10804,South-Eastern Metropolitan,5837.0,810000.0,Train
Murrumbeena,2/11 Howe St,2,u,S,Buxton,6/08/2016,12.1,3163.0,2.0,1.0,1.0,161.0,89.0,1980.0,Glen Eira,-37.8955,145.07299999999995,Southern Metropolitan,4442.0,740000.0,Train
Newport,36 Davies St,3,h,S,Greg,24/06/2017,6.2,3015.0,3.0,1.0,1.0,343.0,,,Hobsons Bay,-37.84502,144.88612,Western Metropolitan,5498.0,1250000.0,Train
Altona North,16 Beevers St,3,h,S,Sweeney,19/11/2016,11.1,3025.0,3.0,1.0,3.0,551.0,,,Hobsons Bay,-37.8254,144.8514,Western Metropolitan,5132.0,680000.0,Train
